"site_no" "feature_id" "nws_id" "action_stage" "minor_stage" "moderate_stage" "major_stage" "record_stage" "action_flow" "minor_flow" "moderate_flow" "major_flow" "record_flow" "lat" "lon" "location"
"860" "05469000" 6960893 "OQUI2" 20 21.5 NA NA 32.65 "1410" "1790" NA NA 30800 41.0019798278809 -90.8530120849609 "HENDERSON CREEK NEAR OQUAWKA IL"
"861" "05556500" 14836121 "PINI2" 12 14 NA NA 16.01 "5960" "5960" NA NA 12500 41.3671913146973 -89.4979629516602 "BIG BUREAU CREEK AT PRINCETON IL"
"862" "05467000" 6960357 "PCKI2" 22 24 NA NA 29.25 "346" "688" NA NA 6460 41.1288299560547 -90.9131622314453 "POPE CREEK NEAR KEITHSBURG IL"
"863" "06909000" 5166621 "BOZM7" 18 21 35 36 37.1 "138000" "171000" "497000" "599000" 755000 38.9790802001953 -92.7537231445312 "MISSOURI RIVER AT BOONVILLE MO"
"864" "06817500" 2501563 "BRLM7" 18 23 28 35 NA "17400" "33300" "60569.6975983879" "134328.858812669" NA 40.4569931030273 -95.0842437744141 "NODAWAY RIVER NEAR BURLINGTON JUNCTION MO"
"865" "06896000" 4388079 "CAXM7" 10 16 19 21 NA "1004" "2986" "5546" "9927" NA 39.346549987793 -93.4966430664062 "WAKENDA CREEK AT CARROLLTON MO"
"866" "06892350" 3730399 "DSOK1" 22 26 33 36 42.3 "90110" "120013" "181020" "209023" 334224.339488115 38.9819374084473 -94.9625473022461 "KANSAS R AT DESOTO KS"
"867" "06891850" 3728525 "ESTK1" 12 17 18 23 27.8 "1221" "2834" "3547" "18400" 28389.010943679 39.3463668823242 -95.1072540283203 "STRANGER C AT EASTON KS"
"868" "06813000" 3702270 "FFXM7" 12 17 18 25 28.9 "1974" "4685" "5355" "10895" 24757 40.3371543884277 -95.4056625366211 "TARKIO RIVER AT FAIRFAX MO"
"869" "06909500" 5156625 "FYTM7" 11 16 21 25 NA "786" "2036" "5866" "17794.8380384266" NA 39.1190643310547 -92.5643310546875 "MONITEAU CREEK NEAR FAYETTE MO"
"870" "06897500" 5106782 "GAZM7" 21 26 33 39 45 "16600" "25600" "43500" "74100" 122977.882270573 39.9237823486328 -93.9436340332031 "GRAND RIVER NEAR GALLATIN MO"
"871" "06906500" 5158001 "GLZM7" 22 25 27 32 NA "130735" "165000" "194000" "282000" NA 39.2215461730957 -92.8506393432617 "MISSOURI RIVER AT GLASGOW MO"
"872" "06817700" 2501637 "GRZM7" NA 22 24 26 NA NA NA "36600" NA NA 40.2188529968262 -95.0670013427734 "NODAWAY RIVER NEAR GRAHAM MO"
"873" "06915000" 2992906 "HLSK1" NA 16 17 18 NA NA NA NA NA NA 38.6359100341797 -94.8903350830078 "BIG BULL C NR HILLSDALE KS"
"874" "06893390" 4392783 "ICLK1" 17 20 24 27 NA "3810" "6970" "13900" "20900" NA 38.9429550170898 -94.5934295654297 "INDIAN C AT STATE LINE RD LEAWOOD KS"
"875" "06893150" 4393139 "KBRM7" 29 35 39 48 NA "2180" "7940" "12800" "642085.375786221" NA 38.8908233642578 -94.5813140869141 "BLUE RIVER AT BLUE RIDGE BLVD EXT IN KC MO"
"876" "06893500" 4392705 "KCCM7" 28 34 40 42 44.46 "12232" "19932" "30374" "35884" 46668.5 38.9573249816895 -94.5593032836914 "BLUE RIVER AT KANSAS CITY MO"
"877" "06893000" 4391417 "KCDM7" 29 32 35 49 48.87 "201000" "238000" "279000" "520000" 517000 39.1208953857422 -94.5707931518555 "MISSOURI RIVER AT KANSAS CITY MO"
"878" "06429905" 5479125 "SNDW4" NA NA NA NA 4.2 NA NA NA NA 499 44.5244789123535 -104.085922241211 "SAND CREEK NEAR RANCH A NEAR BEULAH WY"
"879" "06893578" 4391199 "KSDM7" 26 33 39 43 46.96 "13613" "25015" "42874" "59109" 119268.112705051 39.0641250610352 -94.5071258544922 "BLUE RIVER AT STADIUM DRIVE IN KANSAS CITY MO"
"880" "06893557" 4390865 "KWPM7" 40 47 48 50 53 "1059" "6799" "8244" "11499" 18511 39.0391502380371 -94.5825805664062 "BRUSH CREEK AT WARD PARKWAY IN KANSAS CITY MO"
"881" "06915800" 2996508 "LCGK1" 20 25 30 36 36.19 "11463" "15063" "26965" "128801" 134271.7 38.3515625 -94.7743453979492 "MARAIS DES CYGNES R AT LA CYGNE KS"
"882" "06894000" 4391187 "LKCM7" 12 18 25 27 27.94 "2925" "6826" "15997" "21368" 24853 39.0978088378906 -94.3021926879883 "LITTLE BLUE RIVER NEAR LAKE CITY MO"
"883" "06904050" 5124970 "LVZM7" NA 75 76 77 NA NA NA NA NA NA 40.4724540710449 -92.6857528686523 "CHARITON RIVER AT LIVONIA MO"
"884" "06890100" 745717 "MSCK1" 22 27 28 36 36.5 "10600" "18500" "25000" "74721.3205923219" 79320.3950827409 39.5222473144531 -95.5323638916016 "DELAWARE R NR MUSCOTAH KS"
"885" "06819500" 3723311 "MYVM7" 13 18 23 28 NA "3140" "8250" "15800" "38471.4842766394" NA 40.3230895996094 -94.8270111083984 "ONE HUNDRED AND TWO RIVER AT MARYVILLE MO"
"886" "06894650" 4391379 "NAPM7" 14 17 25 30 NA "90283" "117886" "219897" "402918" NA 39.1356544494629 -94.0601654052734 "MISSOURI RIVER AT NAPOLEON MO"
"887" "06904500" 5814707 "NVZM7" 15 20 23 26 28.6 "11100" "17500" "21700" "26200" 30400 40.2366790771484 -92.6869735717773 "CHARITON RIVER AT NOVINGER MO"
"888" "08166000" 3585554 "JCIT2" NA NA NA NA 35 NA NA NA NA 138000 30.1003303527832 -99.2819900512695 "JOHNSON CK NR INGRAM TX"
"889" "06893300" 4392793 "OPDK1" 10 14 16 18 17.78 "1820" "6241" "9501" "13502" 13039 38.9385528564453 -94.6748733520508 "INDIAN C AT OVERLAND PARK KS"
"890" "06906800" 5995392 "OTTM7" 10 15 18 26 29.43 "4680" "9200" "12700" "44000" 84900 38.6997222900391 -92.9689025878906 "LAMINE RIVER NEAR OTTERVILLE MO"
"891" "06896900" 5106004 "PATM7" 20 25 30 32 40 "13325" "20326" "28527" "32127" 60130 40.0268287658691 -94.122428894043 "GRAND RIVER NEAR PATTONSBURG MO"
"892" "06905500" 5816473 "PRIM7" 10 15 19 21 23.39 "5860" "13100" "22900" "29500" 39000 39.5330123901367 -92.7978439331055 "CHARITON RIVER NEAR PRAIRIE HILL MO"
"893" "06895000" 4386317 "RICM7" 14 20 21 29 30.7 "1250" "2790" "3120" "17054" 28911 39.3327255249023 -93.9791259765625 "CROOKED RIVER NEAR RICHMOND MO"
"894" "06818000" 2252949 "SJSM7" 14 17 21 27 32.07 "74500" "93600" "124000" "203837.35" 318000 39.7259864807129 -94.8857574462891 "MISSOURI RIVER AT ST. JOSEPH MO"
"895" "06821150" 2530269 "SMHM7" 21 27 30.5 35 46.49 "1509" "4129" "7039" "14010" 217154.267539097 39.3892517089844 -94.5776214599609 "LITTLE PLATTE RIVER AT SMITHVILLE MO"
"896" "06902000" 5969716 "SNZM7" 21 26 28 40 42.52 "12940" "21241" "24941" "116951" 161720.75223088 39.6331062316895 -93.2670669555664 "GRAND RIVER NEAR SUMNER MO"
"897" "06821190" 2530553 "SSTM7" 21 26 29 33 36.43 "7440" "12000" "15100" "23300" 44925.0832087394 39.3953399658203 -94.7274703979492 "PLATTE RIVER AT SHARPS STATION MO"
"898" "06893080" 4393405 "STAK1" 10 16 18 30 NA "1670" "7271" "11601" "35261.35" NA 38.811164855957 -94.6745300292969 "BLUE R NR STANLEY KS"
"899" "06893350" 4392931 "TCRK1" 10 13 18 20 NA "2271.89" "3718.45" "7003.56" "8458.35" NA 38.9130554199219 -94.6317138671875 "TOMAHAWK C NR OVERLAND PARK KS"
"900" "06892000" 3729049 "TNGK1" 18 23 30 35 NA "4080" "6600" "34800" "88228.7498637827" NA 39.1156997680664 -95.0111618041992 "STRANGER C NR TONGANOXIE KS"
"901" "06916600" 2997970 "TPOK1" 22 27 29 40 NA "15400" "21600" "24200" "62000" NA 38.2260971069336 -94.6660537719727 "MARAIS DES CYGNES R NR KS-MO ST LINE KS"
"902" "06899500" 5140789 "TTZM7" 25 30 33 37 NA "21100" "39000" "80700" "217285.151167104" NA 40.069034576416 -93.6381454467773 "THOMPSON RIVER AT TRENTON MO"
"903" "06921600" 2335475 "URHM7" 21 24 26 33 NA "4290" "6310" "7910" "15000" NA 38.4523429870605 -94.0042419433594 "SOUTH GRAND RIVER AT URICH MO"
"904" "06907700" 7501510 "VLYM7" 17 22 25 31 33.62 "2485" "5215" "8035" "19147" 27350.3 38.8719711303711 -93.6208648681641 "BLACKWATER RIVER AT VALLEY CITY MO"
"905" "06895500" 4388401 "WVYM7" 17 20 29 31 31.15 "91643" "118746" "240542" "327770" 412595.8 39.2165260314941 -93.5058517456055 "MISSOURI RIVER AT WAVERLY MO"
"906" "11481000" 8316811 "ARCC1" 15 22 24 28 32.7 "16400" "40200" "48300" "66300" 81000 40.9141120910645 -124.066215515137 "MAD R NR ARCATA CA"
"907" "11478500" 2705477 "BRGC1" 13 17 20 23 24 "21000" "32400" "42200" "52900" 48700 40.4826965332031 -123.894760131836 "VAN DUZEN R NR BRIDGEVILLE CA"
"908" "11532500" 22226812 "CREC1" 25 29 34 37 38.4 "71100" "100170.49" "143000" "173000" 228000 41.7923164367676 -124.079948425293 "SMITH R NR CRESCENT CITY CA"
"909" "11475000" 2706571 "FTSC1" 55 70 80 90 82.6 "255000" "392000" "495000" "607000" 561000 40.2232131958008 -123.640502929688 "EEL R A FORT SEWARD CA"
"910" "11530000" 8241662 "HOOC1" 44 48 52 56 57 "140000" "171000" "204000" "249772.01729953" 230000 41.0460510253906 -123.67008972168 "TRINITY R A HOOPA CA"
"911" "11462500" 8269119 "HOPC1" 18 21 23 26 30 "11300" "15000" "17700" "22200" 29000 39.0128211975098 -123.122467041016 "RUSSIAN R NR HOPLAND CA"
"912" "11530500" 4438356 "KLMC1" 30 38 42 46 61.29 "132000" "219000" "269000" "324000" 557000 41.5160522460938 -124.001289367676 "KLAMATH R NR KLAMATH CA"
"913" "11476500" 8285120 "MRNC1" 27 33 38 42 46 "52400" "82500" "112000" "139000" 199000 40.1820373535156 -123.777114868164 "SF EEL R NR MIRANDA CA"
"914" "11468000" 2665613 "NVRC1" NA 23 30 34 40.6 NA "12100" "26400" "38900" 64500 39.1716957092285 -123.669418334961 "NAVARRO R NR NAVARRO CA"
"915" "11523000" 4442602 "ONSC1" 32 38 43 48 50.25 "170000" "261000" "335008.23177368" "406505.539340777" 440608.212093055 41.302074432373 -123.535263061523 "KLAMATH R A ORLEANS"
"916" "11482500" 8315607 "ORIC1" 26 32 35 37 25.37 "29200" "52300" "66400" "76800" 31800 41.2868957519531 -124.068016052246 "REDWOOD C A ORICK CA"
"917" "11477000" 2704735 "SCOC1" 45 51 60 65 72 "208000" "279000" "404000" "483000" 752000 40.4850959777832 -124.108345031738 "EEL R A SCOTIA CA"
"918" "09430500" 2430698 "GILN5" 9 11 13 15 17.19 "11430.6" "16100" "24600" "35700" 25400 33.0656929016113 -108.533233642578 "GILA RIVER NEAR GILA NM"
"919" "09432000" 3082381 "GVRN5" 9 15 20 28 29 "1850" "19500" "31500" "55400" 58700 32.6432609558105 -108.851165771484 "GILA RIVER BELOW BLUE CREEK NEAR VIRDEN NM"
"920" "08477110" 17703137 "MIMN5" NA NA NA NA 9 NA NA NA NA 1800 32.8507957458496 -107.973365783691 "MIMBRES RIVER AT MIMBRES NM"
"921" "09431500" 3081637 "RGRN5" 15 20 25 29 31 "11319.5" "18900" "32400" "45800" 40000 32.726936340332 -108.676452636719 "GILA RIVER NEAR REDROCK NM"
"922" "08481500" 20851387 "TLCN5" NA NA NA NA 5.6 NA NA NA NA 759 33.1364593505859 -105.909957885742 "TULAROSA CREEK NEAR BENT NM"
"923" "08155300" 5781337 "ABTT2" 8 8 11 12 26 "2700" "2700" "6100" "7440" 39400 30.24489402771 -97.7979583740234 "BARTON CK AT LOOP 360 AUSTIN TX"
"924" "08154700" 5781189 "ABUT2" NA 5 5 9 NA NA NA "539" "4110" NA 30.3666858673096 -97.7859268188477 "BULL CK AT LOOP 360 NR AUSTIN TX"
"925" "08158000" 5781961 "ACRT2" 25 33 38 42 51 "15600" "32300" "48300" "66400" 550000 30.2448768615723 -97.6944198608398 "COLORADO RV AT AUSTIN TX"
"926" "08156800" 5781703 "AHOT2" NA 7 10 12 NA NA NA "2330" "3180" NA 30.2929725646973 -97.7481689453125 "SHOAL CK AT W 12TH ST AUSTIN TX"
"927" "08193000" 10893541 "ASRT2" 18 20 24 27 33 "2690" "3360" "4870" "6930" 30087.0743693412 28.5008125305176 -99.682975769043 "NUECES RV NR ASHERTON TX"
"928" "08159000" 5781369 "ATIT2" 15 17 23 27 40.15 "5180" "6840" "15100" "26600" 135000 30.1812515258789 -97.7021484375 "ONION CK AT US HWY 183 AUSTIN TX"
"929" "08178880" 10833740 "BDAT2" 10 13 14 24 46.62 "2990" "6240" "7990" "41900" 550000 29.7296180725098 -99.0615997314453 "MEDINA RV AT BANDERA TX"
"930" "08159200" 5790218 "BRTT2" 14 23 25 28 60.3 "12583" "29101" "33414" "40358" 206288.349908052 30.109935760498 -97.3228225708008 "COLORADO RV AT BASTROP TX"
"931" "08190500" 7876116 "BTVT2" 9 15 17 18 40 "5940" "20000" "27700" "32500" 550000 29.4849987030029 -100.241508483887 "W NUECES RV NR BRACKETTVILLE TX"
"932" "08195000" 10645755 "CNCT2" 7 11 12 15 34.4 "3520" "13000" "15900" "24900" 162000 29.489673614502 -99.7096633911133 "FRIO RV AT CONCAN TX"
"933" "08167000" 3589508 "COMT2" 10 21 26 28 42.3 "3250" "33500" "66800" "84800" 360579.671517979 29.9679660797119 -98.8852691650391 "GUADALUPE RV AT COMFORT TX"
"934" "08175800" 1637447 "CUET2" 19 24 33 37 50.35 "9790" "14302" "26185" "35999" 473000 29.0710105895996 -97.3319549560547 "GUADALUPE RV AT CUERO TX"
"935" "08205500" 10661028 "DBYT2" 6 6 7 17 29.45 "2650" "2650" "3460" "28700" 230000 28.7344284057617 -99.1421813964844 "FRIO RV NR DERBY TX"
"936" "09448500" 21328283 "GLHA3" 13 17 20 21 20.8 "8000" "47000" "99000" "120000" 132000 32.870979309082 -109.511444091797 "GILA RIVER AT HEAD OF SAFFORD VALLEY NR SOLOMON"
"937" "08158700" 5780099 "DRWT2" 5.5 5.5 7 13 26.39 "547" "547" "1980" "6220" 16723 30.0809307098389 -98.0109634399414 "ONION CK NR DRIFTWOOD TX"
"938" "08181800" 10840572 "ELMT2" 33 35 39 48 64.2 "4550" "6090" "10600" "23600" 75000 29.2161331176758 -98.3501892089844 "SAN ANTONIO RV NR ELMENDORF TX"
"939" "08183500" 3838221 "FACT2" 6 12 16 20 38.43 "3600" "9180" "13700" "20300" 63134.3125824918 28.9535255432129 -98.06640625 "SAN ANTONIO RV NR FALLS CITY TX"
"940" "08186000" 7852265 "FCTT2" 6 17 21 25 39.86 "1140" "4950" "7480" "11100" 51200 29.0181350708008 -97.925163269043 "CIBOLO CK NR FALLS CITY TX"
"941" "08183200" 3836053 "FLVT2" 21 27 33 42 NA "4197" "9332" "14382" "23676" NA 29.116605758667 -98.1763000488281 "SAN ANTONIO RV NR FLORESVILLE TX"
"942" "08152900" 5785479 "FRBT2" 12 22 25 32 41.6 "4262" "26128" "35686" "60446" 288776.037241567 30.2189655303955 -98.8647232055664 "PEDERNALES RV NR FREDERICKSBURG TX"
"943" "08104900" 5671579 "GETT2" 5 9 13 26 41 "585" "3660" "8200" "35000" 158225.674655393 30.6232814788818 -97.7575302124023 "S FK SAN GABRIEL RV AT GEORGETOWN TX"
"944" "08173900" 1622713 "GNLT2" 17 31 37 43 50.44 "4060" "14100" "22500" "53000" 340000 29.485803604126 -97.4457778930664 "GUADALUPE RV AT GONZALES TX"
"945" "08165500" 3586192 "HNTT2" 10 10 12 22 36.6 "1450" "1450" "4750" "51047" 206630 30.0712184906006 -99.3255996704102 "GUADALUPE RV AT HUNT TX"
"946" "08153500" 5786075 "JOCT2" 13 14 17 19 42.5 "6845" "10980" "26020" "37493" 441000 30.2886734008789 -98.3976440429688 "PEDERNALES RV NR JOHNSON CITY TX"
"947" "08152000" 5757354 "KNLT2" 8 12 14 20 34.2 "2054" "12652" "20040" "46929" 163000 30.5562877655029 -98.4777679443359 "SANDY CK NR KINGSLAND TX"
"948" "08166200" 3585724 "KRRT2" 7 9 12 20 39 "7500" "13000" "24000" "69000" 196000 30.0492038726807 -99.158073425293 "GUADALUPE RV AT KERRVILLE TX"
"949" "08200720" 10655685 "KWHT2" 10 12 12 14 21 "235115.876803361" "2484823.023766" "2484823.023766" "18242591.994309" 3454548479.21458 29.3669586181641 -99.0865707397461 "HONDO CK AT SH 173 NR HONDO TX"
"950" "08171300" 1631023 "KYET2" NA NA NA NA 40 NA NA NA NA 139000 29.9784927368164 -97.9102020263672 "BLANCO RV NR KYLE TX"
"951" "08172400" 1631087 "LCPT2" NA 14 15 19 NA NA NA "2030" "11500" NA 29.907808303833 -97.6688613891602 "PLUM CK AT LOCKHART TX"
"952" "08160400" 5791848 "LGRT2" 19 26 32 37 56.7 "16682" "29742" "45185" "60000" 147223 29.9073848724365 -96.8919982910156 "COLORADO RV ABV LA GRANGE TX"
"953" "08181480" 10836388 "LKST2" 13 15 16 20 29.31 "2210" "3660" "4660" "10700" 93300 29.3561210632324 -98.5819625854492 "LEON CK AT IH 35 SAN ANTONIO TX"
"954" "08151500" 5771725 "LLAT2" 10 10 12 23 41.5 "17420" "17420" "26069" "96421" 380000 30.7516956329346 -98.6660232543945 "LLANO RV AT LLANO TX"
"955" "08172000" 1631387 "LLGT2" 11 20 24 30 41.85 "2000" "5700" "8980" "19000" 206000 29.6545162200928 -97.6424179077148 "SAN MARCOS RV AT LULING TX"
"956" "08173000" 1631587 "LULT2" 20 23 24 25 30.7 "4790" "12600" "17500" "24000" 78500 29.7200088500977 -97.6040115356445 "PLUM CK NR LULING TX"
"957" "08180700" 10835974 "MMDT2" NA NA NA NA 24.7 NA NA NA NA 41935.5738742911 29.3414840698242 -98.7015838623047 "MEDINA RV NR MACDONA TX"
"958" "08169000" 1619649 "NBCT2" 9 11 15 23 39.28 "3175" "4610" "7963" "18462" 73500 29.705394744873 -98.118278503418 "COMAL RV AT NEW BRAUNFELS TX"
"959" "08168500" 1620031 "NBRT2" 6 7 10 14 38 "5350" "6600" "10700" "17300" 137672.267621016 29.7366123199463 -98.1052322387695 "GUADALUPE RV ABV COMAL RV AT NEW BRAUNFELS TX"
"960" "08155200" 5781265 "OHBT2" NA 12 15 18 NA NA NA "5330" "7840" NA 30.306022644043 -97.9083099365234 "BARTON CK AT SH 71 NR OAK HILL TX"
"961" "08196000" 10644541 "RWDT2" NA 10 13 20 NA NA NA "9350" "22900" NA 29.5041217803955 -99.7816696166992 "DRY FRIO RV NR REAGAN WELLS TX"
"962" "08181500" 10836420 "SAAT2" 16 20 24 28 55.65 "2790" "3981" "7336" "14329" 58858.8 29.2512588500977 -98.468132019043 "MEDINA RV AT SAN ANTONIO TX"
"963" "08198500" 10646003 "SABT2" 10 12 16 24 40 "1860" "3450" "8640" "29300" 135911.07295391 29.2920036315918 -99.4754180908203 "SABINAL RV AT SABINAL TX"
"964" "08178800" 10840488 "SACT2" 15 18 20 22 34.07 "2540" "3760" "4840" "6390" 47800 29.3520641326904 -98.4097442626953 "SALADO CK AT LOOP 13 SAN ANTONIO TX"
"965" "08158840" 5781373 "SCAT2" NA 8 9 15 NA NA NA "2580" NA NA 30.1976795196533 -97.8733062744141 "SLAUGHTER CK AT FM 1826 NR AUSTIN TX"
"966" "08202700" 10655687 "SCRT2" 13 15 19 23 35.7 "3130" "5470" "12100" "21000" 110294.572351782 29.3677539825439 -99.2914352416992 "SECO CK AT ROWE RH NR D'HANIS TX"
"967" "08185000" 7851041 "SELT2" 14 17 20 22 35.4 "14400" "22100" "31100" "37900" 98100 29.5866870880127 -98.306770324707 "CIBOLO CK AT SELMA TX"
"968" "08177700" 10840810 "SIOT2" 9 9 10 12 14.82 "5940" "5940" "7972" "13096" 19700 29.4686946868896 -98.4679641723633 "OLMOS CK AT DRESDEN DR SAN ANTONIO TX"
"969" "08159500" 5790058 "SMIT2" 10 20 23 28 47.4 "11071" "34028" "43492" "60956" 142172.113236154 30.013916015625 -97.1553115844727 "COLORADO RV AT SMITHVILLE TX"
"970" "08178565" 10840502 "SNPT2" 12 12 20 26 34.21 "4156" "4156" "17309" "37233" 94929 29.3277568817139 -98.4564590454102 "SAN ANTONIO RV AT LOOP 410 SAN ANTONIO TX"
"971" "08167500" 3589120 "SRGT2" 25 30 36 39 53 "30800" "42900" "66400" "80800" 203328.774948128 29.8644504547119 -98.3816375732422 "GUADALUPE RV NR SPRING BRANCH TX"
"972" "08178700" 10840232 "SSCT2" 10 12 13 14 24 "2780" "5650" "7620" "10000" 65700 29.5160999298096 -98.4308700561523 "SALADO CK AT LOOP 410 SAN ANTONIO TX"
"973" "08201500" 10653905 "SSMT2" NA 8 10 13 NA NA NA "16400" "30700" NA 29.5787868499756 -99.4048233032227 "SECO CK AT MILLER RH NR UTOPIA TX"
"974" "08167800" 1619595 "STLT2" 8 9 10 12 39 "5204" "11218" "16215" "30496" 367630436.67167 29.8674335479736 -98.1826248168945 "GUADALUPE RV AT SATTLER TX"
"975" "08200000" 10654651 "TPHT2" NA 10 15 24 NA NA NA "16200" "49700" NA 29.5708637237549 -99.2493209838867 "HONDO CK NR TARPLEY TX"
"976" "08197500" 10646917 "UDET2" 10 12 15 17 35 "8390" "14300" "26500" "37000" 194100.107445977 29.2685794830322 -99.67431640625 "FRIO RV BL DRY FRIO RV NR UVALDE TX"
"977" "08190000" 7872253 "UVAT2" 7 10 14 21 29.95 "4650" "11300" "24800" "78000" 307000 29.4205112457275 -99.9932403564453 "NUECES RV AT LAGUNA TX"
"978" "08192000" 10892689 "UVLT2" 10 11 15 17 NA "7137" "10537" "45270" "74130" NA 29.1114158630371 -99.8825912475586 "NUECES RV BL UVALDE TX"
"979" "08175000" 1623207 "WHOT2" 12 21 22 24 29.06 "844" "3750" "4660" "8250" 38600 29.2149314880371 -97.4492034912109 "SANDIES CK NR WESTHOFF TX"
"980" "08158920" 5781345 "WKLT2" NA 6 7 10 NA NA NA "500" "2520" NA 30.2344875335693 -97.8682098388672 "WILLIAMSON CK AT OAK HILL TX"
"981" "08171000" 1630223 "WMBT2" 10 13 17 26 44.9 "6250" "12200" "22700" "67400" 175000 29.9940643310547 -98.0850143432617 "BLANCO RV AT WIMBERLEY TX"
"982" "02336300" 2047989 "AANG1" 13 17 18 20 25.8 "3630" "5700" "7000" "7800" 21000 33.8245468139648 -84.4168930053711 "PEACHTREE CREEK AT ATLANTA GA"
"983" "02215260" 6369124 "ABBG1" 10 12 14 18 23.1 "6576" "11093" "20438" "53000" 127000 31.9894199371338 -83.2821960449219 "OCMULGEE RIVER AT ABBEVILLE GA"
"984" "02217475" 1048487 "ACDG1" 15 16 21 27 25.35 "4880" "4880" "9000" "22000" 13800 34.0317077636719 -83.5628051757812 "MIDDLE OCONEE RIVER NEAR ARCADE GA"
"985" "02208450" 6331754 "ACYG1" 9 12 16 20 14.79 "1400" "3930" "10290.3644342363" "19137.4314255225" 6530 33.6357955932617 -83.7796859741211 "ALCOVY RIVER ABOVE COVINGTON GA"
"986" "02208150" 6330580 "ALCG1" 7 9 11 16 NA "498" "1200" "2670" "11405.2765624704" NA 33.9204025268555 -83.8898620605469 "ALCOVY RIVER AT NEW HOPE ROAD NEAR GRAYSON GA"
"987" "02335700" 2044921 "APHG1" 6 7 11 13 13.05 "543" "797" "3020" "6200" 6100 34.0513648986816 -84.2691955566406 "BIG CREEK NEAR ALPHARETTA GA"
"988" "02388350" 6489404 "ARCG1" 16 19 25 32 NA "5500" "7490" "12500" "20000" NA 34.3613128662109 -85.1420745849609 "ARMUCHEE CREEK AT OLD DALTON ROAD NEAR ROME GA"
"989" "02388320" 6489304 "ARMG1" 6 8 12 16 8.66 "495" "987" "4053.38141254006" "12835.8600590041" 1180 34.3725471496582 -85.2633438110352 "HEATH CREEK NEAR ARMUCHEE GA"
"990" "02337040" 3285802 "ASTG1" NA 21 24 27 NA NA NA NA NA NA 33.7216644287109 -84.6145095825195 "SWEETWATER CREEK BELOW AUSTELL GA"
"991" "02337000" 3286256 "AUSG1" 8 10 13 17 30.82 "2557" "3450" "5000" "7500" 31500 33.765193939209 -84.619270324707 "SWEETWATER CREEK NEAR AUSTELL GA"
"992" "02391540" 6496580 "BALG1" 16 18 23 28 NA "1340" "1600" "26080.1115438192" "54346.3687852368" NA 34.310173034668 -84.4031753540039 "SHARP MTN CREEK AT OLD GA 5 BELOW BALL GROUND GA"
"993" "02223110" 1946441 "BFOG1" 13 15 19 21 NA "1630" "5700" "32166.4625989559" "66925.1204940076" NA 32.8848266601562 -82.9641952514648 "BUFFALO CREEK AT GA 272 NEAR OCONEE GA"
"994" "02390475" 6496136 "BGDG1" 18 21 23 28 NA NA NA NA NA NA 34.3744049072266 -84.3456420898438 "LONG SWAMP CREEK AT REAVIS MTN RD NR NELSON GA"
"995" "02207448" 6331746 "BHCG1" 9 12 17 22 22.46 "645" "1040" "1940" "7437.56487822487" 12161 33.6683616638184 -83.9249267578125 "BIG HAYNES CREEK AT BALD ROCK ROAD NR MILSTEAD GA"
"996" "02207385" 6330798 "BIGG1" 8 10 12 14 NA "701" "1040" "1800" "2935.62419914455" NA 33.8148345947266 -83.9898529052734 "BIG HAYNES CREEK AT LENORA ROAD NR SNELLVILLE GA"
"997" "02390050" 6496222 "BRTG1" 17 19 29 31 NA "7450.63" "8768.97031324977" "14185.5115353131" "15303.5204181337" NA 34.3554382324219 -84.2133636474609 "ETOWAH RIVER AT KELLY BRIDGE ROAD NEAR MATT GA"
"998" "03550500" 19679979 "BRVG1" 10 13 18 21 19.04 "3827" "5365" "9578" "12765" 12900 34.8413887023926 -83.9357604980469 "NOTTELY RIVER NEAR BLAIRSVILLE GA"
"999" "02393377" 6498376 "BTCG1" 9 11 13 16 NA "2380" "4370" "7090" "12700" NA 34.0091094970703 -84.6424560546875 "BUTLER CREEK AT MACK DOBBS ROAD NR KENNESAW GA"
"1000" "02334430" 2045337 "BUFG1" 8 12 NA NA 7.88 "16156.0744705417" "20669.9425647938" NA NA 9670 34.1580276489258 -84.0764999389648 "CHATTAHOOCHEE RIVER AT BUFORD DAM NEAR BUFORD GA"
"1001" "02349900" 6442680 "BVLG1" 8 10 12 15 14.29 "166" "627" "2000" "7868.68743093607" 5820 32.1889381408691 -83.9041442871094 "TURKEY CREEK AT BYROMVILLE GA"
"1002" "02219000" 1050457 "BWKG1" 7 9 16 21 8.9 "6430" "11500" "71731.1942673955" "170393.434837814" 11200 33.7775764465332 -83.4675445556641 "APALACHEE RIVER NEAR BOSTWICK GA"
"1003" "02413210" 15811451 "BWNG1" 15 17 23 28 NA "4310" "5560" "12452.5884580989" "21318.7053019458" NA 33.4906234741211 -85.2884902954102 "LITTLE TALLAPOOSA R AT GA 100 NEAR BOWDON GA"
"1004" "02214075" 6341180 "BYNG1" 13 15 20 24 NA "1110" "3590" "19731.0135166811" "53307.2914593191" NA 32.6887397766113 -83.6967086791992 "ECHECONNEE CREEK AT HOUSTON RD NEAR BYRON GA"
"1005" "02413000" 15809979 "CANG1" 16 18 21 24 19.3 "5390" "7000" "9830" "15534.1150395113" 6010 33.5997200012207 -85.0781555175781 "LITTLE TALLAPOOSA RIVER AT US 27 AT CARROLLTONGA"
"1006" "02191743" 6279327 "CAOG1" 10 12 NA NA NA "215589.27257384" "656351.393691884" NA NA NA 34.031078338623 -83.0050430297852 "SOUTH FORK BROAD RIVER AT CARLTON GA"
